British Indian Ocean Territory	British Indian Ocean Territory
São Tomé and Príncipe	São Tomé and Príncipe
Kazakhstan	Kazakhstan
Gibraltar	Gibraltar
Ukraine	Ukraine
Tajikistan	Tajikistan
Saint Lucia	Saint Lucia
Indian	India
Cook Islands	Cook Islands
El Salvador	El Salvador
Irish	Northern Ireland
Aruba	Aruba
Guinea-Bissau	Guinea-Bissau
Netherlands	Netherlands
Fiji	Fiji
Puerto Rico	Puerto Rico
Iraqi	Iraq
Spain	Spain
Iran	Iran
British	United Kingdom
Timor-Leste	Timor-Leste
Cuba	Cuba
Dutch	Netherlands
Haiti	Haiti
Honduras	Honduras
Denmark	Denmark
Estonia	Estonia
Italy	Italy
Gambia	Gambia
Seychelles	Seychelles
Croatia	Croatia
Israeli	Israel
Cape Verde	Cape Verde
Federated States of Micronesia	Federated States of Micronesia
Wales	Wales
Iceland	Iceland
Colombian	Colombia
Norway	Norway
Guatemala	Guatemala
Czech Republic	Czech Republic
Arabia	United Arab Emirates
San Marino	San Marino
Turks and Caicos Islands	Turks and Caicos Islands
Swiss	Switzerland
French Polynesia	French Polynesia
Pakistan	Pakistan
Bulgaria	Bulgaria
Burkina Faso	Burkina Faso
Barbados	Barbados
Bangladesh	Bangladesh
Djibouti	Djibouti
Myanmar	Myanmar
Russia	Russia
Uruguay	Uruguay
Guam	Guam
UK	United Kingdom
Jamaica	Jamaica
Germany	Germany
Hungarian	Hungary
Slovakia	Slovakia
German	Germany
Portugal	Portugal
Turkmenistan	Turkmenistan
Sri Lanka	Sri Lanka
Guyana	Guyana
Hungary	Hungary
Andorra	Andorra
Burundi	Burundi
Chad	Chad
Russian	Russia
Madagascar	Madagascar
Dominica	Dominica
Czechoslovakia	Czechoslovakia
Martinique	Martinique
Vanuatu	Vanuatu
Solomon Islands	Solomon Islands
Albania	Albania
Mayotte	Mayotte
Netherlands Antilles	Netherlands Antilles
Kiribati	Kiribati
Kenya	Kenya
Australia	Australia
Iraq	Iraq
Egypt	Egypt
Malawi	Malawi
Georgia	Georgia
Indonesia	Indonesia
Cayman Islands	Cayman Islands
Costa Rica	Costa Rica
Vatican City	Vatican City
England	England
Guinea	Guinea
Mexican	Mexico
Poland	Poland
Lebanon	Lebanon
Romania	Romania
Scotland	Scotland
Nigeria	Nigeria
Somalia	Somalia
Benin	Benin
Cameroon	Cameroon
Moldova	Moldova
Republic of Macedonia	Republic of Macedonia
Laos	Laos
Yemen	Yemen
Sudan	Sudan
Morocco	Morocco
Marshall Islands	Marshall Islands
Jordan	Jordan
Niger	Niger
West Germany	West Germany
Samoa	Samoa
Uganda	Uganda
Oman	Oman
American Samoa	American Samoa
Guernsey	Guernsey
Japan	Japan
Algeria	Algeria
Bolivia	Bolivia
Tuvalu	Tuvalu
South Africa	South Africa
SINGAPORE	Singapore
Bahrain	Bahrain
Mauritius	Mauritius
Luxembourg	Luxembourg
Yugoslavia	Yugoslavia
Turkey	Turkey
Panama	Panama
Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
Ghana	Ghana
Slovenia	Slovenia
Bermuda	Bermuda
British Virgin Islands	British Virgin Islands
Nauru	Nauru
Argentina	Argentina
Tonga	Tonga
Côte d’Ivoire	Côte d’Ivoire
Sweden	Sweden
Hong Kong	Hong Kong
Britain	United Kingdom
Saint Kitts and Nevis	Saint Kitts and Nevis
Tanzania	Tanzania
Greenland	Greenland
South Korea	South Korea
Russian Empire	Russian Empire
US	USA
Cocos (Keeling) Islands	Cocos (Keeling) Islands
Sierra Leone	Sierra Leone
Montenegro	Montenegro
Chile	Chile
Belgium	Belgium
Nicaragua	Nicaragua
Tokelau	Tokelau
Democratic Republic of the Congo	Democratic Republic of the Congo
Icelandic	Iceland
Trinidad and Tobago	Trinidad and Tobago
Maldives	Maldives
Chinese	China
Congo	Congo
Bahamas	Bahamas
Armenia	Armenia
Northern Mariana Islands	Northern Mariana Islands
Guadeloupe	Guadeloupe
Croatian	Croatia
USA	USA
Liechtenstein	Liechtenstein
Cambodia	Cambodia
Suriname	Suriname
Weimar Republic	Weimar Republic
Uzbekistan	Uzbekistan
Togo	Togo
Singapore	Singapore
Isle of Man	Isle of Man
China	China
Greek	Greece
Mali	Mali
Malaysia	Malaysia
Monaco	Monaco
Vietnam	Vietnam
French	France
United Kingdom	United Kingdom
Switzerland	Switzerland
New Zealand	New Zealand
South Georgia and the South Sandwich Islands	South Georgia and the South Sandwich Islands
North Korea	North Korea
Serbia	Serbia
Thailand	Thailand
Grenada	Grenada
Tunisia	Tunisia
United States Virgin Islands	United States Virgin Islands
Brazil	Brazil
Malta	Malta
Lesotho	Lesotho
Israel	Israel
Sudanese	Sudan
Canada	Canada
Mauritania	Mauritania
Jersey	Jersey
Paraguay	Paraguay
Angola	Angola
Zimbabwe	Zimbabwe
Bhutan	Bhutan
Azerbaijan	Azerbaijan
Comoros	Comoros
Anguilla	Anguilla
Cyprus	Cyprus
Macau	Macau
Belarus	Belarus
Afghanistan	Afghanistan
Northern Ireland	Northern Ireland
Antigua and Barbuda	Antigua and Barbuda
Rwanda	Rwanda
Wallis and Futuna	Wallis and Futuna
Saint Pierre and Miquelon	Saint Pierre and Miquelon
Mongolia	Mongolia
Philippines	Philippines
New Caledonia	New Caledonia
Norfolk Island	Norfolk Island
Turkish	Turkey
Venezuela	Venezuela
Botswana	Botswana
Eritrea	Eritrea
Papua New Guinea	Papua New Guinea
Australian	Australia
Christmas Island	Christmas Island
Niue	Niue
Montserrat	Montserrat
Qatar	Qatar
Qatari	Qatar
Namibia	Namibia
Italian	Italy
Dominican Republic	Dominican Republic
Mexico	Mexico
Syria	Syria
Falkland Islands	Falkland Islands
Senegal	Senegal
Austria	Austria
Colombia	Colombia
Brazilian	Brazil
Saudi Arabia	Saudi Arabia
Zambia	Zambia
Liberia	Liberia
Swaziland	Swaziland
Norwegian	Norway
Finland	Finland
Armenian	Armenia
Kuwait	Kuwait
Pitcairn Islands	Pitcairn Islands
France	France
Bosnia and Herzegovina	Bosnia and Herzegovina
Mozambique	Mozambique
Central African Republic	Central African Republic
Brunei	Brunei
Equatorial Guinea	Equatorial Guinea
Belize	Belize
Greece	Greece
India	India
Peru	Peru
Western Sahara	Western Sahara
Latvia	Latvia
Ethiopia	Ethiopia
Lithuania	Lithuania
Palau	Palau
Nepal	Nepal
United Arab Emirates	United Arab Emirates
Libya	Libya
Afghan	Afghanistan
Ecuador	Ecuador
Ireland	Ireland
United States Minor Outlying Islands	United States Minor Outlying Islands
